category_name;product_id;product_name;Описание;Состав;Белки в 100 г продукта, гр;Жиры в 100 г продукта, гр;Углеводы в 100 г продукта, гр;Энергетическая ценность в 100 г, ккал;Link
Веганское меню;682;Пирожок с капустой;Печёные пирожки с капустой, изготовленные из домашнего дрожжевого теста. Лепим вручную. Вкус ностальгии по чаепитиям у бабушки. Только натуральные ингредиенты и никакой химии!В упаковке 2 штуки.;капуста белокочанная, мука пшеничная хлебопекарная в/с, вода питьевая, морковь, лук репчатый, масло подсолнечное, сахар, дрожжи хлебопекарные, соль;5.000;11.000;30.000;230.000;https:\\exemple_link.html1
Веганское меню;14577;Морковь по-корейски;Салат приготовлен из свежей моркови с добавлением чеснока, растительного масла, соевого соуса, уксусной кислоты и пряностей. Без глутамата натрия и прочих усилителей вкуса!;ЗОЛОТОЙ УРОЖАЙ ООО: морковь свежая, чеснок свежий, уксус, сахар, соль, масло подсолнечное рафинированное, соевый соус (вода питьевая, соевые бобы, пшеница, сахар, соль пищевая), перец молотый красный, кориандр молотый,ДАРЫ ПРИРОДЫ ООО: Морковь столовая свежая, сахар, соль пищевая, масло подсолнечное рафинированное дезодорированное, чеснок свежий, кориандр целый, регулятор кислотности – уксусная кислота 70%, перец красный чили хлопья,РУСИЧ ООО: морковь столовая свежая, сахар, масло подсолнечное рафинированное дезодорированное, соль пищевая, чеснок свежий, лук репчатый свежий, регулятор кислотности – уксусная кислота 70%, кориандр молотый, перец чили дробленый;1.100;6.100;10.400;100.900;https:\\exemple_link.html2
Веганское меню;17143;Кускус с овощами;Лёгкое постное блюдо с насыщенным вкусом свежих овощей, приправленное ароматным подсолнечным маслом и пикантным чесночком. По желанию кус-кус можно дополнить вашим любимым соусом. Рекомендуем подавать в качестве холодной закуски или гарнира к основному блюду.;кускус, перец сладкий свежий, тыква свежая, морковь столовая свежая, горошек зелёный с/м, петрушка свежая, масло подсолнечное рафинированное дезодорированное, чеснок свежий, соль пищевая. Продукция производится на предприятии, где используются арахис, горчица, кунжут, моллюски, ракообразные, рыба, орехи, сельдерей, соя, яйца, молоко (лактоза).;4.900;7.100;29.200;200.000;https:\\exemple_link.html3
Веганское меню;20171;"Борщ ""Вегетарианский""";Традиционный борщ, который можно в пост, вегетарианцам и веганам. Вкусно со сметаной, соевым майонезом и хлебцами.;вода питьевая,картофель свежий, капуста белокочанная свежая, фасоль консервированная (фасоль красная, вода питьевая, соль пищевая), свекла столовая свежая, морковь столовая свежая, лук пассерованный (лук свежий репчатый,масло подсолнечное рафинированное дезодорированное), томатная паста массовая доля сухих растворимых веществ 25 % (вода питьевая, томаты свежие), уксус столовый 9 %,сахар, чеснок сущеный, соль пищевая, перец чёрный молотый. Продукция производится на предприятии, где используются арахис, горчица, злаки, содержащие глютен, кунжут, молоко (лактоза), орехи, сельдерей, соя, яйца. ;0.800;0.600;6.400;34.200;https:\\exemple_link.html4
Веганское меню;20665;Салат винегрет с маринованной капустой;Готовый салат. В качестве заправки нерафинированное подсолнечное масло.Салат приготовлен из свежих и качественных ингредиентов. Без консервантов и усилителей вкуса. Одобрено поваром &laquo,ВкусВилл&raquo,.Несмотря на всю простоту этого салата, его приготовление даже у опытной хозяйки займет немало времени. Мы предлагаем вам готовый вариант, который можно взять с собой на работу, в дорогу или даже подать к ужину дома.;свёкла столовая отварная, картофель отварной, морковь столовая отварная, огурцы консервированные (огурцы свежие, уксус столовый 9 %, соль пищевая, вода питьевая), капуста маринованная (капуста свежая, вода питьевая, масло подсолнечное рафинированное дезодорированное, уксус столовый 9 %, сахар, соль пищевая, чеснок свежий, гвоздика целая), горошек зелёный консервированный (горошек свежий зелёный мозговых сортов, соль пищевая, вода питьевая), соль пищевая, масло подсолнечное нерафинированное. Продукция производится на предприятии, где используются арахис,горчица,злаки,содержащие глютен,кунжут,моллюски,ракообразные, рыба, молоко (лактоза), орехи, яйца.;1.200;5.200;9.300;88.800;https:\\exemple_link.html5
Веганское меню;20811;Хумус с кедровыми орешками;Традиционная израильская закуска из перетёртого нута. Обладает бархатистой однородной консистенцией, которая отлично подходит для намазывания на хлеб. Вкус мягкий, со сливочными нотами кедровых орехов.&nbsp,;нут отварной (турецкий горох), вода питьевая, кунжутная паста (тахина), масло подсолнечное рафинированное дезодорированное, масло оливковое рафинированное (Reﬁned olive oil), орех кедровый жареный, соль пищевая, регулятор кислотности – лимонная кислота, чеснок сушёный, паприка молотая, перец красный молотый. ;5.300;11.200;14.000;178.000;https:\\exemple_link.html6
Веганское меню;21408;Хумус с вялеными помидорами;Традиционная израильская закуска из перетёртого нута. Обладает бархатистой однородной консистенцией, которая отлично подходит для намазывания на хлеб. Вкус мягкий, с пряными оттенками вяленых помидоров.; нут отварной (турецкий горох), вода питьевая, кунжутная паста (тахина), масло подсолнечное рафинированное дезодорированное, масло оливковое рафинированное (Reﬁned olive oil), соль пищевая, томаты сушёные, регулятор кислотности – лимонная кислота, чеснок сушёный, базилик, петрушка, прованские травы (базилик, майоран, тимьян, чабер, розмарин, орегано, шалфей, мята), перец красный молотый. Продукт может содержать незначительное количество кедрового ореха. ;5.400;11.400;12.400;173.800;https:\\exemple_link.html7
Веганское меню;22274;Лапша гречневая с цукини и ореховым соусом;Тонкая гречневая лапша с кусочками томлёного цукини. Соус из кешью приготовлен по уникальному рецепту с добавлением оливкового масла и свежих яблок. Именно он придаёт блюду мягкий сладковатый вкус с приятной кислинкой. Идеальный вариант для тех, кто любит открывать новые вкусовые сочетания.&nbsp,&nbsp,;лапша (мука из твердой пшеницы второго сорта, мука гречневая, вода питьевая), соус ореховый (масло оливковое рафинированное с добавлением масел оливковых нерафинированных, ядра орехов кешью сушеные, яблоки свежие, уксус рисовый 3 % (уксус рисовый, сахар, соль поваренная пищевая, семена кунжута, соус соевый (вода питьевая, соевые бобы, пшеница, соль поваренная пищевая, сахар), сахар, стебель сельдерея свежий, чеснок свежий), цукини свежий;4.800;7.600;21.900;175.200;https:\\exemple_link.html8
Веганское меню;22487;Лепешка с зеленью;Веганская лепёшка с начинкой из разных видов зелени: щавеля, шпината, зелёного лука. Щепотка красного перца придаёт вкусу трав лёгкую пикантность. Лепёшка отлично подойдёт для перекуса или станет отличной закуской. Чтобы её вкус раскрылся интенсивнее, рекомендуем разогреть в микроволновке в течение нескольких секунд.&nbsp,;Гулян Ашот Петрович ИП: мука пшеничная хлебопекарная высшего сорта, вода питьевая, зелень кинзы свежая, кервель свежий, шпинат свежий, щавель свежий, укроп свежий, лук зелёный свежий, лук репчатый свежий, масло подсолнечное рафинированное дезодорированное, соль пищевая, перец красный молотый слабожгучий. ГУРМАН ООО: мука пшеничная хлебопекарная высший сорт, вода питьевая, кинза свежая (зелень), петрушка свежая (зелень), шпинат свежий, щавель свежий, укроп свежий (зелень), лук зелёный свежий, лук репчатый свежий, масло подсолнечное рафинированное дезодорированное, соль пищевая, перец красный молотый слабожгучий.;7.300;4.300;33.000;199.900;https:\\exemple_link.html9
Веганское меню;22491;Лобио;Национальное грузинское блюдо из красной фасоли. Яркие акценты во вкус привносит пряная кинза, арахис и ароматные специи. Это питательное постное блюдо отлично подойдёт для сытного перекуса или станет оригинальной закуской на праздничном столе.;фасоль варёная (фасоль красная, вода питьевая, соль пищевая), ядро арахиса, томатная паста (томаты свежие, соль пищевая), уксус столовый 9 %, масло подсолнечное рафинированное дезодорированное, кинза свежая, чеснок свежий, сахар, соль пищевая, перец чёрный молотый.Продукция производится на предприятии, где используются горчица, злаки, содержащие глютен, рыба, молоко (лактоза), орехи, сельдерей, соя, яйца.;7.800;8.200;21.200;189.800;https:\\exemple_link.html10
